Sample,Sample.Date,Age.Days,DPE,Treatment,Temperature,Tank.ID,Sex,Pathology.Results,Total.Worm.Count,Worms.w.Eggs,Repeat.Extract,No.PCR.Product,Notes
RTF001,2021-09-24 00:00:00,164,0,Control,35,4,M,NA,NA,NA,0,0,All fish 5D; all 0 dpe samples nonlethal and no pathology; fish sex visual assessement only
RTF002,2021-09-24 00:00:00,164,0,Control,35,4,F,NA,NA,NA,0,0,
RTF003,2021-09-24 00:00:00,164,0,Control,35,4,F,NA,NA,NA,0,0,
RTF004,2021-09-24 00:00:00,164,0,Control,35,4,F,NA,NA,NA,0,0,
RTF005,2021-09-24 00:00:00,164,0,Control,35,4,M,NA,NA,NA,0,0,
RTF006,2021-09-24 00:00:00,164,0,Control,32,12,M,NA,NA,NA,0,0,
RTF007,2021-09-24 00:00:00,164,0,Control,32,12,F,NA,NA,NA,0,0,
RTF008,2021-09-24 00:00:00,164,0,Control,32,12,M,NA,NA,NA,0,0,
RTF009,2021-09-24 00:00:00,164,0,Control,32,12,M,NA,NA,NA,0,0,
RTF010,2021-09-24 00:00:00,164,0,Control,32,12,F,NA,NA,NA,0,0,
RTF011,2021-09-24 00:00:00,164,0,Control,28,9,M,NA,NA,NA,0,0,
RTF012,2021-09-24 00:00:00,164,0,Control,28,9,F,NA,NA,NA,0,0,
RTF013,2021-09-24 00:00:00,164,0,Control,28,9,F,NA,NA,NA,0,0,
RTF014,2021-09-24 00:00:00,164,0,Control,28,9,F,NA,NA,NA,0,0,
RTF015,2021-09-24 00:00:00,164,0,Control,28,9,M,NA,NA,NA,0,0,
RTF016,2021-09-24 00:00:00,164,0,Control,28,7,F,NA,NA,NA,0,0,
RTF017,2021-09-24 00:00:00,164,0,Control,28,7,M,NA,NA,NA,0,0,
RTF018,2021-09-24 00:00:00,164,0,Control,28,7,M,NA,NA,NA,0,0,
RTF019,2021-09-24 00:00:00,164,0,Control,28,7,M,NA,NA,NA,0,0,
RTF020,2021-09-24 00:00:00,164,0,Control,28,7,F,NA,NA,NA,0,0,
RTF021,2021-09-24 00:00:00,164,0,Control,35,2,F,NA,NA,NA,0,0,
RTF022,2021-09-24 00:00:00,164,0,Control,35,2,F,NA,NA,NA,0,0,
RTF023,2021-09-24 00:00:00,164,0,Control,35,2,F,NA,NA,NA,0,0,
RTF024,2021-09-24 00:00:00,164,0,Control,35,2,M,NA,NA,NA,0,0,
RTF025,2021-09-24 00:00:00,164,0,Control,35,2,F,NA,NA,NA,0,0,
RTF026,2021-09-24 00:00:00,164,0,Control,32,5,M,NA,NA,NA,0,0,
RTF027,2021-09-24 00:00:00,164,0,Control,32,5,M,NA,NA,NA,0,0,
RTF028,2021-09-24 00:00:00,164,0,Control,32,5,M,NA,NA,NA,0,0,
RTF029,2021-09-24 00:00:00,164,0,Control,32,5,F,NA,NA,NA,0,0,
RTF030,2021-09-24 00:00:00,164,0,Control,32,5,M,NA,NA,NA,0,0,
RTF031,2021-09-24 00:00:00,164,0,Exposed,35,11,F,NA,NA,NA,0,0,
RTF032,2021-09-24 00:00:00,164,0,Exposed,35,11,F,NA,NA,NA,0,0,
RTF033,2021-09-24 00:00:00,164,0,Exposed,35,11,M,NA,NA,NA,0,0,
RTF034,2021-09-24 00:00:00,164,0,Exposed,35,11,F,NA,NA,NA,0,0,
RTF035,2021-09-24 00:00:00,164,0,Exposed,35,11,F,NA,NA,NA,0,0,
RTF036,2021-09-24 00:00:00,164,0,Exposed,32,1,M,NA,NA,NA,0,0,
RTF037,2021-09-24 00:00:00,164,0,Exposed,32,1,M,NA,NA,NA,0,0,
RTF038,2021-09-24 00:00:00,164,0,Exposed,32,1,M,NA,NA,NA,0,0,
RTF039,2021-09-24 00:00:00,164,0,Exposed,32,1,M,NA,NA,NA,0,0,
RTF040,2021-09-24 00:00:00,164,0,Exposed,32,1,F,NA,NA,NA,0,0,
RTF041,2021-09-24 00:00:00,164,0,Exposed,28,6,M,NA,NA,NA,0,0,
RTF042,2021-09-24 00:00:00,164,0,Exposed,28,6,M,NA,NA,NA,0,0,
RTF043,2021-09-24 00:00:00,164,0,Exposed,28,6,M,NA,NA,NA,0,0,
RTF044,2021-09-24 00:00:00,164,0,Exposed,28,6,F,NA,NA,NA,0,0,
RTF045,2021-09-24 00:00:00,164,0,Exposed,28,6,F,NA,NA,NA,0,0,
RTF046,2021-09-24 00:00:00,164,0,Exposed,28,10,M,NA,NA,NA,0,0,
RTF047,2021-09-24 00:00:00,164,0,Exposed,28,10,F,NA,NA,NA,0,0,
RTF048,2021-09-24 00:00:00,164,0,Exposed,28,10,F,NA,NA,NA,0,0,
RTF049,2021-09-24 00:00:00,164,0,Exposed,28,10,M,NA,NA,NA,0,0,
RTF050,2021-09-24 00:00:00,164,0,Exposed,28,10,F,NA,NA,NA,0,0,
RTF051,2021-09-24 00:00:00,164,0,Exposed,35,3,M,NA,NA,NA,0,0,
RTF052,2021-09-24 00:00:00,164,0,Exposed,35,3,F,NA,NA,NA,0,0,
RTF053,2021-09-24 00:00:00,164,0,Exposed,35,3,F,NA,NA,NA,0,0,
RTF054,2021-09-24 00:00:00,164,0,Exposed,35,3,M,NA,NA,NA,0,0,
RTF055,2021-09-24 00:00:00,164,0,Exposed,35,3,F,NA,NA,NA,0,0,
RTF056,2021-09-24 00:00:00,164,0,Exposed,32,8,M,NA,NA,NA,0,0,
RTF057,2021-09-24 00:00:00,164,0,Exposed,32,8,M,NA,NA,NA,0,0,
RTF058,2021-09-24 00:00:00,164,0,Exposed,32,8,M,NA,NA,NA,0,0,
RTF059,2021-09-24 00:00:00,164,0,Exposed,32,8,F,NA,NA,NA,0,0,
RTF060,2021-09-24 00:00:00,164,0,Exposed,32,8,F,NA,NA,NA,0,0,
RTF062,2021-10-08 00:00:00,178,14,Control,35,4,F,negative,0,0,0,0,
RTF063,2021-10-08 00:00:00,178,14,Control,35,4,F,negative,0,0,0,0,
RTF064,2021-10-08 00:00:00,178,14,Control,35,4,M,negative,0,0,1,0,
