Sample,Age.Days,DPE,Treatment,Temperature,Tank.ID,Sex,Pathology.Results,Total.Worm.Count,Repeat.Extract,No.PCR.Product,Treatment.,Temperature.,DPE.,Temp.DPE.,Temp.Treat.,Treat.Temp.DPE.,Path.Res.,Temp.Path.,Shannon__Genus,Simpson__Genus,Richness__Genus,Phylogenetic__Genus,Shannon__Genus_norm,Simpson__Genus_norm,Richness__Genus_norm,Phylogenetic__Genus_norm
1,164,0,0,35,4,1,0,0,0,0,1,3,1,11,5,11,1,5,8.649731287,4.099568237,51,13.63829,0.305170299,0.326126204,0.367823948,0.39209739
2,164,0,0,35,4,0,0,0,0,0,1,3,1,11,5,11,1,5,5.858132167,2.891386264,39,10.99531,0.224832099,0.236920259,0.290837335,0.322138421
3,164,0,0,35,4,0,0,0,0,0,1,3,1,11,5,11,1,5,10.94124946,5.511837432,54,14.79373,0.360885586,0.406146588,0.385962929,0.420426031
4,164,0,0,35,4,0,0,0,0,0,1,3,1,11,5,11,1,5,11.46376974,5.844395244,57,14.828,0.372663817,0.422480884,0.403727697,0.42124818
5,164,0,0,35,4,1,0,0,0,0,1,3,1,11,5,11,1,5,10.65740792,5.212092313,53,14.20418,0.35435751,0.390711706,0.379959609,0.406122814
6,164,0,0,32,12,1,0,0,0,0,1,2,1,6,3,6,1,3,7.960659215,3.928706825,63,15.7726,0.28685579,0.314955307,0.438238797,0.443528765
7,164,0,0,32,12,0,0,0,0,0,1,2,1,6,3,6,1,3,5.195272911,2.640610119,51,14.30045,0.202784872,0.21461841,0.367823948,0.408479451
8,164,0,0,32,12,1,0,0,0,0,1,2,1,6,3,6,1,3,8.298257332,3.753026313,76,18.72353,0.295933149,0.303043304,0.509041107,0.50894512
9,164,0,0,32,12,1,0,0,0,0,1,2,1,6,3,6,1,3,6.299069638,2.97760245,58,15.14419,0.238745491,0.24421913,0.409570863,0.428787098
10,164,0,0,32,12,0,0,0,0,0,1,2,1,6,3,6,1,3,20.62470766,9.11548482,73,18.54334,0.544167927,0.55202022,0.493133726,0.505113176
11,164,0,0,28,9,1,0,0,0,0,1,1,1,1,1,1,1,1,4.611453837,2.438041856,47,12.88764,0.182045657,0.195289362,0.343002931,0.373012552
12,164,0,0,28,9,0,0,0,0,0,1,1,1,1,1,1,1,1,11.17907249,5.1815288,57,14.90962,0.366283911,0.389097051,0.403727697,0.423202262
13,164,0,0,28,9,0,0,0,0,0,1,1,1,1,1,1,1,1,10.10693307,4.138717266,58,16.23215,0.341418854,0.328631541,0.409570863,0.454114933
14,164,0,0,28,9,0,0,0,0,0,1,1,1,1,1,1,1,1,9.249302807,3.913556475,60,15.71602,0.320463108,0.31394555,0.421145093,0.442214254
15,164,0,0,28,9,1,0,0,0,0,1,1,1,1,1,1,1,1,6.345154063,3.015085924,56,13.95802,0.240168304,0.247338122,0.397845959,0.400058544
16,164,0,0,28,7,0,0,0,0,0,1,1,1,1,1,1,1,1,3.729216399,2.283580648,43,11.25192,0.147749014,0.179639199,0.317375801,0.329293148
17,164,0,0,28,7,1,0,0,0,0,1,1,1,1,1,1,1,1,12.28998535,4.898184127,64,16.29231,0.390700166,0.373741532,0.443868469,0.455489068
18,164,0,0,28,7,1,0,0,0,0,1,1,1,1,1,1,1,1,7.401522478,3.026377539,60,15.14822,0.27134321,0.248271424,0.421145093,0.428882649
19,164,0,0,28,7,1,0,0,0,0,1,1,1,1,1,1,1,1,6.024435423,2.864440919,52,13.09656,0.230145169,0.234602302,0.373913659,0.378381547
20,164,0,0,28,7,0,0,0,0,0,1,1,1,1,1,1,1,1,9.538229846,3.86656918,61,15.64621,0.327637874,0.310793243,0.426877872,0.440588945
21,164,0,0,35,2,0,0,0,0,0,1,3,1,11,5,11,1,5,9.876231451,4.931271406,56,15.14701,0.335881187,0.375571879,0.397845959,0.428853961
22,164,0,0,35,2,0,0,0,0,0,1,3,1,11,5,11,1,5,10.70153987,5.598134808,58,15.63539,0.355378726,0.410461769,0.409570863,0.440336695
23,164,0,0,35,2,0,0,0,0,0,1,3,1,11,5,11,1,5,13.19791157,7.175862427,62,16.15498,0.409766995,0.481043706,0.432575514,0.452348346
24,164,0,0,35,2,1,0,0,0,0,1,3,1,11,5,11,1,5,17.47099246,11.45302591,71,18.93513,0.491030812,0.622569097,0.482392388,0.513420399
25,164,0,0,35,2,0,0,0,0,0,1,3,1,11,5,11,1,5,13.04263073,7.659841794,62,15.87466,0.406558375,0.500112432,0.432575514,0.445893657
26,164,0,0,32,5,1,0,0,0,0,1,2,1,6,3,6,1,3,15.60081898,8.027566761,70,18.32259,0.456989142,0.513946864,0.476979215,0.500391935
27,164,0,0,32,5,1,0,0,0,0,1,2,1,6,3,6,1,3,11.37780445,5.626241262,63,16.83307,0.370746659,0.411855346,0.438238797,0.467723031
28,164,0,0,32,5,1,0,0,0,0,1,2,1,6,3,6,1,3,8.59348992,3.413332496,66,16.54095,0.30370627,0.278641637,0.455029831,0.461140273
29,164,0,0,32,5,0,0,0,0,0,1,2,1,6,3,6,1,3,12.6273695,5.978502499,61,16.124,0.39787304,0.428851436,0.426877872,0.451637902
30,164,0,0,32,5,1,0,0,0,0,1,2,1,6,3,6,1,3,3.449617701,1.788365128,41,11.2308,0.135961223,0.12274899,0.304227987,0.328707542
31,164,0,1,35,11,0,0,0,0,0,2,3,1,11,6,26,1,5,14.44434545,6.402248489,79,20.64385,0.434802864,0.44823462,0.524714679,0.548636535
32,164,0,1,35,11,0,0,0,0,0,2,3,1,11,6,26,1,5,7.637274971,3.926986444,54,13.84084,0.277959851,0.314840807,0.385962929,0.397152032
33,164,0,1,35,11,1,0,0,0,0,2,3,1,11,6,26,1,5,8.133222059,4.350384337,49,13.15928,0.291521569,0.341848094,0.355508447,0.379984587
34,164,0,1,35,11,0,0,0,0,0,2,3,1,11,6,26,1,5,11.59195701,6.129932558,61,14.88032,0.375507962,0.435904691,0.426877872,0.422501432
35,164,0,1,35,11,0,0,0,0,0,2,3,1,11,6,26,1,5,8.956493155,5.117847233,57,13.83233,0.313065023,0.385707385,0.403727697,0.39694045
36,164,0,1,32,1,1,0,0,0,0,2,2,1,6,4,21,1,3,12.08913863,5.529193973,59,15.69615,0.386378589,0.407018934,0.415376371,0.44175203
37,164,0,1,32,1,1,0,0,0,0,2,2,1,6,4,21,1,3,21.02989917,13.00497499,79,20.52865,0.550661516,0.663080545,0.524714679,0.546311574
38,164,0,1,32,1,1,0,0,0,0,2,2,1,6,4,21,1,3,16.16035229,8.804011423,75,17.36053,0.467398772,0.541520731,0.503765257,0.479458864
39,164,0,1,32,1,1,0,0,0,0,2,2,1,6,4,21,1,3,19.56490795,12.29928193,76,18.30532,0.526844358,0.645183803,0.509041107,0.50002132
40,164,0,1,32,1,0,0,0,0,0,2,2,1,6,4,21,1,3,7.198654528,3.977092715,56,15.11828,0.265556101,0.318158813,0.397845959,0.428172453
41,164,0,1,28,6,1,0,0,0,0,2,1,1,1,2,16,1,1,8.209731875,4.008124194,54,13.83801,0.293572826,0.320196445,0.385962929,0.397081678
42,164,0,1,28,6,1,0,0,0,0,2,1,1,1,2,16,1,1,17.16298423,9.807200045,73,19.39395,0.485567271,0.574318447,0.493133726,0.523034969
43,164,0,1,28,6,1,0,0,0,0,2,1,1,1,2,16,1,1,8.186839912,3.786966578,55,14.62877,0.29296019,0.305379958,0.3919247,0.416454524
44,164,0,1,28,6,0,0,0,0,0,2,1,1,1,2,16,1,1,8.676934865,3.795538781,60,15.91417,0.305876561,0.305967387,0.421145093,0.446807023
