,Metadata_1,Metadata_2,Metadata_3,Metadata_4,Metadata_5,Metadata_6
SYN_1,0.9920256,0.0063184546,0.51472,0.9595481,0.7794675,0.6032471
SYN_2,0.4372435,0.29752445,0.5928137,0.28536904,0.6076725,0.47376904
SYN_3,0.7695245,0.021040028,0.80830854,0.944864,0.8945471,0.8682085
SYN_4,0.09526437,0.42214316,0.15738203,0.53209364,0.32742247,0.06515049
SYN_5,0.51998436,0.49629924,0.27347615,0.37386674,0.118397914,0.67844373
SYN_6,0.95972735,0.42371818,0.55714786,0.3025306,0.55260897,0.27976942
SYN_7,0.45176217,0.52958894,0.63263583,0.89922214,0.7767728,0.44791448
SYN_8,0.693821,0.387927,0.92473173,0.11194887,0.6176116,0.11759236
SYN_9,0.14342819,0.7826517,0.058002863,0.5458698,0.48967835,0.9934755
SYN_10,0.92306656,0.0061187074,0.45406273,0.14128037,0.718062,0.9303061
SYN_11,0.47685218,0.7271025,0.5143919,0.13090403,0.4205427,0.5444882
SYN_12,0.15909421,0.610038,0.18798132,0.45112056,0.58521396,0.55275846
SYN_13,0.5592875,0.4903785,0.32591695,0.7859818,0.920609,0.29811794
SYN_14,0.67420405,0.6986847,0.94905025,0.5159612,0.3672715,0.7124879
SYN_15,0.9721037,0.37211302,0.9520066,0.55008006,0.6392278,0.6604753
SYN_16,0.07680009,0.86414725,0.14361335,0.3126386,0.22001085,0.95675385
SYN_17,0.63047403,0.3823574,0.69555944,0.44658387,0.76268667,0.38214886
SYN_18,0.8351052,0.67779315,0.33862963,0.50458103,0.98860747,0.62790775
SYN_19,0.8531082,0.040605493,0.09328707,0.6073652,0.16338381,0.9134078
SYN_20,0.13265988,0.0749965,0.20077848,0.66899794,0.9273132,0.71322656
SYN_21,0.11948532,0.6505501,0.45973054,0.82494086,0.092483744,0.8119428
SYN_22,0.52238387,0.8536766,0.6848922,0.7243909,0.61700034,0.19851197
SYN_23,0.79051,0.8701825,0.8037944,0.33535883,0.31239375,0.65006924
SYN_24,0.96304494,0.96471256,0.88119644,0.84910256,0.94096166,0.48474592
SYN_25,0.38082272,0.8340066,0.16609427,0.52111053,0.47053844,0.651393
SYN_26,0.28599083,0.99548125,0.2208654,0.69725996,0.25922656,0.2291411
SYN_27,0.9064862,0.24273546,0.28741285,0.61152214,0.81992584,0.34456217
SYN_28,0.7492088,0.49483988,0.32047528,0.022666635,0.9678946,0.19548605
SYN_29,0.47216737,0.96241355,0.44564757,0.31387857,0.5416398,0.3345763
SYN_30,0.26971948,0.7978776,0.24289544,0.70140404,0.58374107,0.2935128
SYN_31,0.6958328,0.46879458,0.7252001,0.9777875,0.025540093,0.68508977
SYN_32,0.1969348,0.8950441,0.9581869,0.7272062,0.47855008,0.7322608
SYN_33,0.9627925,0.13670233,0.8406242,0.4235167,0.45696846,0.9502245
SYN_34,0.25335684,0.88671166,0.9124218,0.55022043,0.16791837,0.72719306
SYN_35,0.67306054,0.92798215,0.31425023,0.5514213,0.102960154,0.8151002
SYN_36,0.3574892,0.43356386,0.0022263248,0.5463875,0.23053078,0.4548451
SYN_37,0.22970289,0.10749784,0.46758974,0.9695711,0.24699162,0.009311288
SYN_38,0.5982148,0.90040565,0.05972985,0.54571074,0.04234271,0.5748661
SYN_39,0.46121833,0.9939703,0.8793034,0.1928101,0.967252,0.95209545
SYN_40,0.122685336,0.49674463,0.11028668,0.5940837,0.24156258,0.45796913
SYN_41,0.19885711,0.6625869,0.5401706,0.5680626,0.48636958,0.983982
SYN_42,0.81864566,0.59670174,0.84226143,0.20316663,0.094848305,0.9830339
SYN_43,0.5882641,0.6916095,0.70521307,0.35247308,0.9193418,0.8377979
SYN_44,0.7069696,0.2413917,0.302526,0.91548175,0.15694769,0.17779623
SYN_45,0.18793294,0.7542655,0.91768706,0.07257292,0.62858516,0.9518735
SYN_46,0.5975965,0.77343595,0.58019954,0.97112715,0.22766094,0.18968718
SYN_47,0.21674992,0.008628743,0.15867135,0.76248395,0.6895395,0.48455718
SYN_48,0.8779839,0.028684035,0.7490043,0.8529578,0.75227803,0.6641929
