,Kingdom,Phylum,Class,Order,Family,Genus,unique
ASV1,,,,,,,ASV1
ASV2,,,,,,,ASV2
ASV3,,,,,,,ASV3
ASV4,,,,,,,ASV4
ASV5,,,,,,,ASV5
ASV6,,,,,,,ASV6
ASV7,,,,,,,ASV7
ASV8,,,,,,,ASV8
ASV9,,,,,,,ASV9
ASV10,,,,,,,ASV10
ASV11,,,,,,,ASV11
ASV12,,,,,,,ASV12
ASV13,,,,,,,ASV13
ASV14,,,,,,,ASV14
ASV15,,,,,,,ASV15
ASV16,,,,,,,ASV16
ASV17,,,,,,,ASV17
ASV18,,,,,,,ASV18
ASV19,,,,,,,ASV19
ASV20,,,,,,,ASV20
ASV21,,,,,,,ASV21
ASV22,,,,,,,ASV22
ASV23,,,,,,,ASV23
ASV24,,,,,,,ASV24
ASV25,,,,,,,ASV25
ASV26,,,,,,,ASV26
ASV27,,,,,,,ASV27
ASV28,,,,,,,ASV28
ASV29,,,,,,,ASV29
ASV30,,,,,,,ASV30
ASV31,,,,,,,ASV31
ASV32,,,,,,,ASV32
ASV33,,,,,,,ASV33
ASV34,,,,,,,ASV34
ASV35,,,,,,,ASV35
ASV36,,,,,,,ASV36
ASV37,,,,,,,ASV37
ASV38,,,,,,,ASV38
ASV39,,,,,,,ASV39
ASV40,,,,,,,ASV40
ASV41,,,,,,,ASV41
ASV42,,,,,,,ASV42
ASV43,,,,,,,ASV43
ASV44,,,,,,,ASV44
ASV45,,,,,,,ASV45
ASV46,,,,,,,ASV46
ASV47,,,,,,,ASV47
ASV48,,,,,,,ASV48
ASV49,,,,,,,ASV49
ASV50,,,,,,,ASV50
ASV51,,,,,,,ASV51
ASV52,,,,,,,ASV52
ASV53,,,,,,,ASV53
ASV54,,,,,,,ASV54
ASV55,,,,,,,ASV55
ASV56,,,,,,,ASV56
ASV57,,,,,,,ASV57
ASV58,,,,,,,ASV58
ASV59,,,,,,,ASV59
ASV60,,,,,,,ASV60
ASV61,,,,,,,ASV61
ASV62,,,,,,,ASV62
ASV63,,,,,,,ASV63
ASV64,,,,,,,ASV64
ASV65,,,,,,,ASV65
ASV66,,,,,,,ASV66
ASV67,,,,,,,ASV67
ASV68,,,,,,,ASV68
ASV69,,,,,,,ASV69
ASV70,,,,,,,ASV70
ASV71,,,,,,,ASV71
ASV72,,,,,,,ASV72
ASV73,,,,,,,ASV73
ASV74,,,,,,,ASV74
ASV75,,,,,,,ASV75
ASV76,,,,,,,ASV76
ASV77,,,,,,,ASV77
ASV78,,,,,,,ASV78
ASV79,,,,,,,ASV79
ASV80,,,,,,,ASV80
ASV81,,,,,,,ASV81
ASV82,,,,,,,ASV82
ASV83,,,,,,,ASV83
ASV84,,,,,,,ASV84
ASV85,,,,,,,ASV85
ASV86,,,,,,,ASV86
ASV87,,,,,,,ASV87
ASV88,,,,,,,ASV88
ASV89,,,,,,,ASV89
ASV90,,,,,,,ASV90
ASV91,,,,,,,ASV91
ASV92,,,,,,,ASV92
ASV93,,,,,,,ASV93
ASV94,,,,,,,ASV94
ASV95,,,,,,,ASV95
ASV96,,,,,,,ASV96
ASV97,,,,,,,ASV97
ASV98,,,,,,,ASV98
ASV99,,,,,,,ASV99
ASV100,,,,,,,ASV100
ASV101,,,,,,,ASV101
ASV102,,,,,,,ASV102
ASV103,,,,,,,ASV103
ASV104,,,,,,,ASV104
ASV105,,,,,,,ASV105
ASV106,,,,,,,ASV106
ASV107,,,,,,,ASV107
ASV108,,,,,,,ASV108
ASV109,,,,,,,ASV109
ASV110,,,,,,,ASV110
ASV111,,,,,,,ASV111
ASV112,,,,,,,ASV112
ASV113,,,,,,,ASV113
ASV114,,,,,,,ASV114
ASV115,,,,,,,ASV115
ASV116,,,,,,,ASV116
ASV117,,,,,,,ASV117
ASV118,,,,,,,ASV118
ASV119,,,,,,,ASV119
ASV120,,,,,,,ASV120
ASV121,,,,,,,ASV121
ASV122,,,,,,,ASV122
ASV123,,,,,,,ASV123
ASV124,,,,,,,ASV124
ASV125,,,,,,,ASV125
ASV126,,,,,,,ASV126
ASV127,,,,,,,ASV127
ASV128,,,,,,,ASV128
ASV129,,,,,,,ASV129
ASV130,,,,,,,ASV130
ASV131,,,,,,,ASV131
ASV132,,,,,,,ASV132
ASV133,,,,,,,ASV133
ASV134,,,,,,,ASV134
ASV135,,,,,,,ASV135
ASV136,,,,,,,ASV136
ASV137,,,,,,,ASV137
ASV138,,,,,,,ASV138
ASV139,,,,,,,ASV139
ASV140,,,,,,,ASV140
ASV141,,,,,,,ASV141
ASV142,,,,,,,ASV142
ASV143,,,,,,,ASV143
ASV144,,,,,,,ASV144
ASV145,,,,,,,ASV145
ASV146,,,,,,,ASV146
ASV147,,,,,,,ASV147
ASV148,,,,,,,ASV148
ASV149,,,,,,,ASV149
ASV150,,,,,,,ASV150
ASV151,,,,,,,ASV151
ASV152,,,,,,,ASV152
ASV153,,,,,,,ASV153
ASV154,,,,,,,ASV154
ASV155,,,,,,,ASV155
ASV156,,,,,,,ASV156
ASV157,,,,,,,ASV157
ASV158,,,,,,,ASV158
ASV159,,,,,,,ASV159
ASV160,,,,,,,ASV160
ASV161,,,,,,,ASV161
ASV162,,,,,,,ASV162
ASV163,,,,,,,ASV163
ASV164,,,,,,,ASV164
ASV165,,,,,,,ASV165
ASV166,,,,,,,ASV166
ASV167,,,,,,,ASV167
ASV168,,,,,,,ASV168
ASV169,,,,,,,ASV169
ASV170,,,,,,,ASV170
ASV171,,,,,,,ASV171
ASV172,,,,,,,ASV172
ASV173,,,,,,,ASV173
ASV174,,,,,,,ASV174
ASV175,,,,,,,ASV175
ASV176,,,,,,,ASV176
ASV177,,,,,,,ASV177
ASV178,,,,,,,ASV178
