feature	Anaerospora	RBG.13.54.9.Genus	Meiothermus	Deinococcus	WPS.2.Genus	KD4.96.Genus	Caldilineaceae.Genus	Lineage.IIb.Genus	SBR1031.Genus	JG30.KF.CM45.Genus	Candidatus.Obscuribacter	Obscuribacteraceae.Genus	Vampirovibrio	Vampirovibrionaceae.Genus	Frankiales.Genus	Nakamurella	Micromonospora	PeM15.Genus	Longivirga	Gordonia	Corynebacteriales.Genus	Nocardia	Nocardiaceae.Genus	Smaragdicoccus	Mycobacterium	Rhodococcus	Nocardioides	Marmoricola	Brevibacterium	Kineosporiaceae.Genus	Leucobacter	Agromyces	Glutamicibacter	Kocuria	IMCC26207	Microtrichales.Genus	Iamia	Acidimicrobiia.Genus	IMCC26256.Genus	Ilumatobacteraceae.Genus	Microtrichaceae.Genus	Gaiellales.Genus	X67.14.Genus	Conexibacter	Thermoleophilia.Genus	Gaiella	Clostridium.sensu.stricto.12	Clostridium.sensu.stricto.3	Clostridium.sensu.stricto.5	Clostridium.sensu.stricto.18	Clostridium.sensu.stricto.13	Clostridium.sensu.stricto.9	Acidaminobacter	Paraclostridium	Thermoactinomycetaceae.Genus	Peptostreptococcaceae.Genus	Peptostreptococcus	Amnipila	Geothermomicrobium	Lachnoclostridium	Cetobacterium	Brevibacillus	Enterococcus	Ligilactobacillus	Limosilactobacillus	Lactobacillus	Weissella	Streptococcus	Carnobacterium	Vagococcus	Staphylococcus	Bacillus	Geobacillus	Planococcaceae.Genus	Lysinibacillus	Exiguobacterium	Brochothrix	Holophagaceae.Genus	Kapabacteriales.Genus	Candidatus.Amoebophilus	Barnesiellaceae.Genus	Flavobacterium	Chryseobacterium	Cloacibacterium	NS9.marine.group.Genus	AKYH767.Genus	Sphingobacteriales.Genus	env.OPS.17.Genus	Fluviicola	Chitinophagales.Genus	Dinghuibacter	Chitinophagaceae.Genus	Sediminibacterium	Ferruginibacter	Terrimonas	Aurantisolimonas	Flavihumibacter	Saprospiraceae.Genus	Haliscomenobacter	Bacteroidia.Genus	Cytophagales.Genus	Cytophaga	Microscillaceae.Genus	Hassallia	Ohtaekwangia	OLB12	Flectobacillus	Runella	Fibrobacteraceae.Genus	Babeliales.Genus	Vermiphilaceae.Genus	Babeliaceae.Genus	BD7.11.Genus	Verrucomicrobiaceae.Genus	Pedosphaeraceae.Genus	DEV008	Chthoniobacter	Verrucomicrobiae.Genus	Brevifollis	Luteolibacter	Methanosarcina	Methanobacteriaceae.Genus	Opitutaceae.Genus	Saccharimonadales.Genus	TM7a	ZOR0006	Armatimonadota.Genus	Defluviicoccales.Genus	Candidatus.Alysiosphaera	A0839.Genus	Hirschia	SWB02	Polymorphobacter	Magnetospirillum	Novosphingobium	Sphingopyxis	Sphingorhabdus	Rhizorhapis	Blastomonas	Rhizobiaceae.Genus	alphaI.cluster	Alsobacter	Mesorhizobium	Mycoplana	Martelella	Pseudochrobactrum	Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium	Shinella	Hyphomicrobium	Pedomicrobium	Methyloligellaceae.Genus	Bauldia	Devosia	Alphaproteobacteria.Genus	Rhizobiales.Incertae.Sedis.Genus	Nordella	Xanthobacteraceae.Genus	Phreatobacter	Aminobacter	Paracoccus	Defluviimonas	Rhodobacteraceae.Genus	Tabrizicola	Gemmobacter	Pseudorhodobacter	Phenylobacterium	Caulobacter	Bosea	Beijerinckiaceae.Genus	Pseudorhodoplanes	Bradyrhizobium	Afipia	Fodinicurvataceae.Genus	Novispirillum	Elstera	Roseomonas	Rhodovarius	Rhodovastum	Rhodospirillales.Genus	Reyranella	Holosporaceae.Genus	Caedibacter	Oligoflexaceae.Genus	Candidatus.Megaira	Rickettsiaceae.Genus	Bacteriovoracaceae.Genus	Bdellovibrio	OM27.clade	X0319.6G20.Genus	Desulfobacterota.Genus	MBNT15.Genus	Sandaracinaceae.Genus	mle1.27.Genus	Haliangium	Anaeromyxobacter	Blfdi19.Genus	Pajaroellobacter	Phaselicystis	Aetherobacter	Polyangia.Genus	NB1.j.Genus	P3OB.42	SAR324.clade.Marine.group.B..Genus	Desulfobulbus	Candidatus.Berkiella	Candidatus.Competibacter	Ahniella	Stenotrophomonas	Luteimonas	Sulfurifustis	Chitinibacter	Chitinilyticum	Sutterellaceae.Genus	Rheinheimera	Undibacterium	Neisseriaceae.Genus	Leeia	Burkholderiales.Genus	AAP99	Azospira	Dechloromonas	Candidatus.Accumulibacter	Dechlorobacter	Zoogloea	Rhizobacter	Inhella	Comamonadaceae.Genus	Curvibacter	Hydrogenophaga	Ideonella	Rubrivivax	Aquabacterium	Paucibacter	Nitrosomonas	Crenobacter	Chitinivorax	TRA3.20.Genus	IS.44	SC.I.84.Genus	Sulfuritalea	A21b.Genus	Nitrosomonadaceae.Genus	Achromobacter	Cellvibrio	Shewanella	Vibrio	Aeromonas	Plesiomonas	Burkholderia.Caballeronia.Paraburkholderia	Citrobacter	Gammaproteobacteria.Genus	Pseudomonadales.Genus	Porticoccus	Pseudomonas	Diplorickettsiaceae.Genus	Coxiella	Aquicella	Candidatus.Ovatusbacter	Legionella	CCM19a.Genus	Ga0077536.Genus	Steroidobacter	Steroidobacteraceae.Genus	X.Agitococcus..lubricus.group	Acinetobacter	OM60.NOR5..clade	Turneriella	Gemmatimonadaceae.Genus	Vicinamibacteraceae.Genus	Subgroup.17.Genus	Chlamydiales.Genus	Neochlamydia	Parachlamydiaceae.Genus	Candidatus.Protochlamydia	Chlamydiaceae.Genus	Simkania	Simkaniaceae.Genus	Leptospirillum	Bryobacter	Paludibaculum.Genus	Nitrospira	SH3.11	Oikopleura	X11.24.Genus	JGI.0001001.H03	SM1A02	CL500.3	Planctomycetota.Genus	Pirellulaceae.Genus	Pir4.lineage	Planctomycetes.Genus	Pirellula	Rhodopirellula	Blastopirellula	Planctomycetales.Genus	SH.PL14	Schlesneriaceae.Genus	Schlesneria	Gemmataceae.Genus	Gemmata	Fimbriiglobus	Telmatocola	Tundrisphaera	Isosphaeraceae.Genus	OM190.Genus	vadinHA49.Genus
RTF001	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1110	0	1087	0	2199	0	0	590	21	0	0	0	0	0	0	0	0	107	77	0	0	0	0	0	10	16	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	17943	0	29	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	903	0	0	130	0	0	0	0	0	0	254	0	0	0	0	148	58	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	13	10	0	0	0	0	0	0	0	1077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	11	10	0	0	0	0	0	0	0	736	0	0	275	0	0	20	0	77	2914	0	0	3	14	0	38	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	798	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	73	0	2493	0	31	0	0	0	0	0	0	0	0	0	0	0	1380	2908	0	0	0	0	0	28	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	24	0	0	0	0	47	0	0	0	34	0	0	0	0	0	0	0	0	0	0
RTF002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	1480	0	3040	37	0	1030	45	0	0	0	0	0	0	0	0	15	12	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	19909	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	599	0	0	52	0	0	0	0	0	0	44	0	0	0	0	41	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	6	0	0	0	0	0	0	0	413	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0	0	153	0	0	18	0	0	1278	0	0	0	8	0	10	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1689	0	67	0	0	0	0	0	0	0	0	0	0	0	1325	2119	0	0	0	0	0	27	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	105	0	0	0	10	0	0	0	0	0	0	0	0	0	0
RTF003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1067	0	691	0	3073	25	0	1118	49	0	0	0	0	0	0	0	0	108	112	0	0	0	0	0	6	38	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	14362	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	1172	0	7	114	0	0	0	0	7	0	393	0	0	0	0	157	83	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	37	9	0	0	0	0	0	0	0	650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	12	0	0	0	0	0	0	0	0	0	0	1048	0	0	244	0	0	15	0	83	3330	0	0	7	21	0	50	0	0	0	0	0	22	0	10	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	2110	0	48	0	0	0	0	0	0	0	0	0	0	0	1730	2873	0	0	10	0	0	51	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	166	0	0	0	0	23	0	7	0	0	183	0	0	0	53	0	0	0	0	0	0	0	0	0	0
RTF004	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1363	18	768	0	3337	41	0	1858	397	0	0	0	0	0	0	0	0	131	106	5	0	0	0	0	14	24	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	13696	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	944	0	0	86	0	0	0	0	14	0	367	0	0	0	0	195	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	10	0	0	0	0	0	0	0	598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	17	0	0	3	0	0	0	0	952	0	0	242	0	0	23	0	90	3698	0	0	20	30	0	27	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	937	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	81	113	2118	0	22	0	0	0	0	0	0	0	0	0	0	0	2096	1494	0	0	0	0	0	16	0	0	0	3	9	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	157	0	0	0	0	26	0	0	0	0	88	0	0	0	38	0	0	6	0	0	0	8	0	0	0
RTF005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1807	9	1269	0	2138	31	0	1315	24	0	0	0	0	0	0	0	0	198	121	0	0	0	0	0	7	33	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	16778	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	1269	0	0	204	0	0	0	0	10	0	368	0	0	0	0	272	73	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	29	17	0	0	0	0	0	0	0	834	0	0	0	0	0	0	0	0	0	0	0	0	4	0	14	0	0	34	0	9	9	0	0	0	0	0	0	0	1201	0	0	215	0	0	24	0	108	4348	0	0	13	53	0	62	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	1198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	3213	0	28	0	0	0	0	0	0	0	0	0	0	0	1412	1795	0	0	0	0	0	42	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	296	0	0	0	0	82	0	0	0	0	150	0	0	0	62	0	0	0	0	0	0	8	0	0	0
RTF006	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	544	18	1129	0	96	0	0	1168	0	0	0	0	0	9	0	37	0	77	46	14	0	0	0	0	5	14	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	19786	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	669	0	0	23	0	0	0	0	73	0	527	0	0	0	0	43	63	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	57	3	0	0	0	0	0	0	0	723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	66	0	0	15	0	0	4	0	0	0	0	328	0	0	113	0	0	26	0	103	6052	0	0	4	55	0	25	0	0	0	0	0	8	0	40	0	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	1184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	750	0	182	0	0	0	0	0	0	0	0	63	12	0	4203	2759	0	21	0	95	0	90	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	27	4	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	12	0	0	38	0	0	0	7	0	0	329	0	0	0	53	0	0	0
RTF007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	289	0	44	0	0	612	0	0	0	0	0	14	0	7	0	54	15	23	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	27345	2	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	1351	4	0	11	0	0	0	0	20	0	368	0	0	0	0	26	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	9	0	0	0	0	0	4	0	1216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	17	0	0	0	0	0	0	0	0	0	0	279	0	0	117	0	0	0	0	41	2519	0	0	0	18	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	672	0	203	0	0	0	0	0	0	0	0	0	37	0	4505	4253	0	0	0	67	0	62	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	5	0	0	0	6	0	0	37	0	4	0	20	0	0	0
RTF008	0	0	0	0	0	3	0	0	0	8	0	29	0	0	0	0	0	888	26	1410	0	237	0	5	2490	25	0	0	0	0	54	0	58	0	252	144	69	0	0	0	0	17	57	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	35610	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	295	0	0	19	0	0	0	0	341	0	1869	0	0	0	0	48	263	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	167	5	0	0	0	0	0	2	0	879	0	0	0	0	0	0	0	0	0	0	0	0	0	55	49	0	0	201	0	0	29	0	0	3	0	0	0	0	780	0	0	424	0	0	139	0	198	13228	0	0	9	172	0	57	0	0	0	0	0	17	0	322	0	48	0	0	0	0	0	0	9	0	10	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	3059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	2177	0	354	0	0	0	0	0	0	0	0	0	8	0	2197	2965	0	15	11	300	0	123	0	0	0	6	111	0	0	0	0	0	0	0	0	0	0	0	0	50	13	3	0	4	0	0	0	0	0	832	0	0	0	0	0	0	38	7	0	62	0	0	0	44	0	0	511	0	6	0	153	0	0	0
RTF009	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	451	7	649	0	57	0	0	826	0	0	0	0	0	28	0	9	0	145	64	50	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	31651	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	1339	0	0	20	0	0	0	0	112	0	634	0	0	0	0	63	61	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	34	7	0	0	0	0	0	0	0	1036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	60	0	0	18	0	0	0	0	0	0	0	460	0	0	262	0	0	7	0	121	5821	0	0	0	62	0	0	0	0	0	0	0	10	0	69	0	13	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	1273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	1687	0	292	0	0	0	0	0	0	0	0	0	0	0	3963	3871	0	0	4	179	0	35	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	8	5	0	0	3	0	0	0	0	0	293	0	0	0	0	0	0	15	0	0	21	0	0	0	9	0	0	190	0	0	0	53	0	0	0
RTF010	0	0	0	199	0	0	0	0	0	24	0	6	0	0	0	0	0	1004	119	1091	0	77	0	0	2193	0	0	0	0	0	177	0	29	0	891	427	214	0	0	0	0	72	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3583	582	0	0	0	0	0	0	0	0	0	12	16	0	0	0	0	0	0	0	13	0	0	92	0	0	0	0	248	0	2685	0	0	0	0	226	565	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	40	0	124	0	0	0	0	0	0	0	0	0	0	0	0	127	49	100	0	0	140	0	0	144	0	0	0	0	0	0	0	420	0	0	797	0	0	105	0	312	11252	0	0	37	202	0	14	0	0	0	0	0	0	0	237	71	147	0	0	0	0	0	0	11	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	67	1778	0	0	0	0	0	0	0	0	0	0	0	0	0	956	0	0	0	136	225	500	0	130	0	0	0	0	0	0	0	0	0	0	0	312	383	0	45	0	824	0	1803	0	0	0	43	186	0	0	0	0	0	5	0	0	0	0	0	0	44	10	0	0	0	0	14	0	0	0	381	0	0	0	0	0	0	64	0	0	108	0	0	0	73	56	0	1305	0	0	0	241	0	0	0
